 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.2260008912016563E+004	 +0.0000000000000000E+000	 -0.6795134478479246E+000	 +0.2260008912016563E+004	
      +2	 +0.2245709545075754E+004	 +0.0000000000000000E+000	 -0.4855306428000835E+000	 +0.2245709545075754E+004	
      +3	 +0.2274124317368435E+004	 +0.0000000000000000E+000	 -0.4827956054794887E+000	 +0.2274124317368435E+004	
      +4	 +0.2196278291702001E+004	 +0.0000000000000000E+000	 -0.4439971202600820E+000	 +0.2196278291702001E+004	
      +5	 +0.2211133506135428E+004	 +0.0000000000000000E+000	 -0.4460973099319283E+000	 +0.2211133506135428E+004	
      +6	 +0.2155462874651321E+004	 +0.0000000000000000E+000	 -0.4208188993111974E+000	 +0.2155462874651321E+004	
      +7	 +0.2163704446076176E+004	 +0.0000000000000000E+000	 -0.4214285753864327E+000	 +0.2163704446076176E+004	
      +8	 +0.2248419907284662E+004	 +0.0000000000000000E+000	 -0.4596471603414863E+000	 +0.2248419907284662E+004	
      +9	 +0.2222062002840408E+004	 +0.1005928948862900E+003	 -0.4934452544919319E+000	 +0.2121469107954118E+004	
     +10	 +0.2054101609797731E+004	 +0.1893295790587850E+004	 -0.4919921030099800E+000	 +0.1608058192098808E+003	
     +11	 +0.2518794708363675E+004	 +0.2605766983421097E+005	 -0.4870388056644934E+000	 +0.0000000000000000E+000	
     +12	 +0.2177057116371908E+004	 +0.7352683354425606E+005	 -0.4740635458370861E+000	 +0.0000000000000000E+000	
     +13	 +0.1848372544918669E+004	 +0.1211734753305561E+006	 -0.4881983273111258E+000	 +0.0000000000000000E+000	
     +14	 +0.1522593314099215E+004	 +0.9985811168498265E+005	 -0.4801545508474510E+000	 +0.0000000000000000E+000	
     +15	 +0.1581159827149184E+004	 +0.1288536247756524E+005	 -0.4799858605810277E+000	 +0.0000000000000000E+000	
     +16	 +0.9941593836697497E+003	 +0.7292583342719086E+003	 -0.4775465638756116E+000	 +0.2649010493978411E+003	
     +17	 +0.1178455966722413E+004	 +0.1001908335393305E+003	 -0.4763983695146948E+000	 +0.1078265133183082E+004	
     +18	 +0.1255140154633395E+004	 +0.0000000000000000E+000	 -0.2936616721204449E+000	 +0.1255140154633395E+004	
     +19	 +0.1350410916456560E+004	 +0.0000000000000000E+000	 -0.2323581519815067E+000	 +0.1350410916456560E+004	
     +20	 +0.1304046841533315E+004	 +0.0000000000000000E+000	 -0.1796155009635489E+000	 +0.1304046841533315E+004	
     +21	 +0.1390249304811121E+004	 +0.0000000000000000E+000	 -0.1466018916405624E+000	 +0.1390249304811121E+004	
     +22	 +0.1421294063339775E+004	 +0.0000000000000000E+000	 -0.1189636872127297E+000	 +0.1421294063339775E+004	
     +23	 +0.1468351988650927E+004	 +0.0000000000000000E+000	 -0.1018820282314162E+000	 +0.1468351988650927E+004	
     +24	 +0.1565017741835788E+004	 +0.0000000000000000E+000	 -0.8599230580934748E-001	 +0.1565017741835788E+004	
     +25	 +0.1632685900693618E+004	 +0.0000000000000000E+000	 -0.7570036768483644E-001	 +0.1632685900693618E+004	
     +26	 +0.1734316604837715E+004	 +0.0000000000000000E+000	 -0.6390202884230518E-001	 +0.1734316604837715E+004	
     +27	 +0.1840797198064958E+004	 +0.0000000000000000E+000	 -0.5873387694706093E-001	 +0.1840797198064958E+004	
     +28	 +0.1927971513844883E+004	 +0.0000000000000000E+000	 -0.4863716338221470E-001	 +0.1927971513844883E+004	
     +29	 +0.1985255359583027E+004	 +0.0000000000000000E+000	 -0.3943096086006656E-001	 +0.1985255359583027E+004	
     +30	 +0.2046102278085136E+004	 +0.0000000000000000E+000	 -0.2805523456940856E-001	 +0.2046102278085136E+004	
     +31	 +0.2095930211858305E+004	 +0.0000000000000000E+000	 -0.2006390681241932E-001	 +0.2095930211858305E+004	
     +32	 +0.2222084970176816E+004	 +0.0000000000000000E+000	 -0.2205821092810368E+000	 +0.2222084970176816E+004	
     +33	 +0.2223190350517860E+004	 +0.1845849375630758E+002	 -0.3749969105608671E+000	 +0.2204731856761553E+004	
     +34	 +0.2245268950918508E+004	 +0.1649876462060126E+003	 -0.4147097830636611E+000	 +0.2080281304712496E+004	
     +35	 +0.2838623754835855E+004	 +0.9112201150559717E+004	 -0.4094549204167144E+000	 +0.0000000000000000E+000	
     +36	 +0.2025979445733694E+004	 +0.3403533076336719E+004	 -0.4231740481599279E+000	 +0.0000000000000000E+000	
     +37	 +0.2632272630592400E+004	 +0.1513973108284695E+005	 -0.4191411144185732E+000	 +0.0000000000000000E+000	
     +38	 +0.1865486230964751E+004	 +0.2465061868398747E+004	 -0.4302517433403885E+000	 +0.0000000000000000E+000	
     +39	 +0.2597988742673448E+004	 +0.8214107071394572E+004	 -0.4283754556080709E+000	 +0.0000000000000000E+000	
     +40	 +0.1937545808432353E+004	 +0.1338223542319776E+004	 -0.4355381046607726E+000	 +0.5993222661125767E+003	
     +41	 +0.1992705518902244E+004	 +0.4995055260675759E+003	 -0.4341364409201711E+000	 +0.1493199992834668E+004	
     +42	 +0.1991678592152122E+004	 +0.0000000000000000E+000	 -0.2603818467932446E+000	 +0.1991678592152122E+004	
     +43	 +0.2059060434815166E+004	 +0.0000000000000000E+000	 -0.1959290450774578E+000	 +0.2059060434815166E+004	
     +44	 +0.2008082962085167E+004	 +0.0000000000000000E+000	 -0.1559782689557914E+000	 +0.2008082962085167E+004	
     +45	 +0.2103674905475810E+004	 +0.0000000000000000E+000	 -0.1244219207801957E+000	 +0.2103674905475810E+004	
     +46	 +0.2152635665128843E+004	 +0.0000000000000000E+000	 -0.1069043681614662E+000	 +0.2152635665128843E+004	
     +47	 +0.2209357946466289E+004	 +0.0000000000000000E+000	 -0.8492279500144870E-001	 +0.2209357946466289E+004	
     +48	 +0.2331420836903073E+004	 +0.0000000000000000E+000	 -0.7634483715457099E-001	 +0.2331420836903073E+004	
     +49	 +0.2364446936582814E+004	 +0.0000000000000000E+000	 -0.6281725088147438E-001	 +0.2364446936582814E+004	
     +50	 +0.2380639790688158E+004	 +0.0000000000000000E+000	 -0.5214617497654692E-001	 +0.2380639790688158E+004	
     +51	 +0.2380823011688317E+004	 +0.0000000000000000E+000	 -0.3954680662827526E-001	 +0.2380823011688317E+004	
     +52	 +0.2388212090860339E+004	 +0.0000000000000000E+000	 -0.2572095206127909E-001	 +0.2388212090860339E+004	
     +53	 +0.2381589248603061E+004	 +0.0000000000000000E+000	 -0.1094176729924299E-001	 +0.2381589248603061E+004	
     +54	 +0.2380847726171314E+004	 +0.0000000000000000E+000	 +0.2429656201435246E-002	 +0.2380847726171314E+004	
     +55	 +0.2373320906469603E+004	 +0.0000000000000000E+000	 +0.1071656973034231E-001	 +0.2373320906469603E+004	
